1516,1
1517,4
1518,3
1519,4
1520,3
1521,1
1522,1
1523,3
1524,1
1525,3
1526,4
1527,2
1528,4
1529,4
1530,4
1531,1
1532,4
1533,4
1534,4
1535,3
1536,3
1537,1
1538,4
1539,1
1540,3
1541,4
1542,4
1543,1
1544,3
1545,1
1546,1
1547,3
1548,4
1549,3
1550,3
1551,4
1552,4
1553,3
1554,1
1555,1
1556,3
1557,4
1558,3
1559,3
1560,4
1561,3
1562,3
1563,1
1564,3
1565,3
1566,3
1567,4
1568,1
1569,1
1570,3
1571,3
1572,4
1573,3
1574,4
1575,1
1576,3
1577,1
1578,3
1579,3
1580,4
1581,3
1582,4
1583,1
1584,4
1585,4
1586,3
1587,3
1588,3
1589,3
1590,4
1591,4
1592,4
1593,1
1594,4
1595,3
1596,1
1597,3
1598,1
1599,1
1600,4
1601,4
1602,1
1603,4
1604,2
1605,4
1606,3
1607,4
1608,3
1609,4
1610,1
1611,4
1612,4
1613,1
1614,1
1615,1
1616,3
1617,1
1618,3
1619,1
1620,1
1621,1
1622,1
1623,3
1624,4
1625,3
1626,4
1627,1
1628,4
1629,1
1630,4
1631,1
1632,4
1633,4
1634,3
1635,3
1636,3
1637,4
1638,1
1639,4
1640,3
1641,3
1642,4
1643,1
1644,3
1645,1
1646,3
1647,4
1648,3
1649,3
1650,3
1651,1
1652,1
1653,4
1654,1
1655,1
1656,3
1657,1
1658,1
1659,1
1660,1
1661,3
1662,1
1663,3
1664,1
1665,1
1666,1
1667,4
1668,1
1669,1
1670,3
1671,1
1672,4
1673,4
1674,1
1675,3
1676,1
1677,1
1678,1
1679,4
1680,1
1681,4
1682,3
1683,3
1684,4
1685,1
1686,4
1687,4
1688,3
1689,4
1690,1
1691,4
1692,4
1693,1
1694,1
1695,1
1696,3
1697,1
1698,1
1699,4
1700,1
1701,1
1702,1
1703,1
1704,3
1705,4
1706,4
1707,3
1708,1
1709,3
1710,3
1711,3
1712,3
1713,3
1714,1
1715,4
1716,4
1717,4
1718,4
1719,3
1720,4
1721,3
1722,4
1723,1
1724,3
1725,3
1726,4
1727,4
1728,1
1729,2
1730,4
1731,4
1732,4
1733,3
1734,3
1735,1
1736,4
1737,1
1738,1
1739,1
1740,3
1741,3
1742,4
1743,3
1744,1
1745,3
1746,1
1747,4
1748,3
1749,1
1750,3
1751,4
1752,3
1753,4
1754,4
1755,1
1756,1
1757,1
1758,3
1759,4
1760,3
1761,1
1762,1
1763,4
1764,4
1765,4
1766,3
1767,2
1768,2
1769,4
1770,3
1771,4
1772,4
1773,3
1774,4
1775,3
1776,4
1777,1
1778,4
1779,3
1780,4
1781,4
1782,4
1783,1
1784,1
1785,3
1786,4
1787,3
1788,1
1789,3
1790,3
1791,3
1792,3
1793,1
1794,3
1795,1
1796,4
1797,4
1798,4
1799,1
1800,4
1801,3
1802,1
1803,3
1804,1
1805,3
1806,3
1807,3
1808,3
1809,3
1810,1
1811,3
1812,4
1813,1
1814,2
1815,3
1816,4
1817,3
1818,4
1819,2
1820,4
1821,4
1822,4
1823,3
1824,1
1825,1
1826,3
1827,1
1828,4
1829,4
1830,4
1831,4
1832,1
1833,1
1834,3
1835,4
1836,3
1837,4
1838,4
1839,3
1840,3
1841,3
1842,3
1843,4
1844,1
1845,4
1846,4
1847,3
1848,1
1849,3
1850,3
1851,3
1852,4
1853,4
1854,3
1855,3
1856,3
1857,4
1858,4
1859,3
1860,1
1861,3
1862,1
1863,1
1864,3
1865,1
1866,3
1867,4
1868,2
1869,3
1870,1
1871,1
1872,1
1873,4
1874,3
1875,1
1876,3
1877,3
1878,1
1879,3
1880,1
1881,4
1882,4
1883,3
1884,1
1885,4
1886,3
1887,3
1888,1
1889,4
1890,4
1891,1
1892,4
1893,1
1894,4
1895,3
1896,3
1897,1
1898,3
1899,3
1900,4
1901,3
1902,3
1903,4
1904,1
1905,4
1906,3
1907,4
1908,1
1909,3
1910,4
1911,2
1912,1
1913,4
1914,4
1915,3
1916,1
1917,4
1918,3
1919,1
1920,3
1921,4
1922,4
1923,3
1924,3
1925,4
1926,4
1927,4
1928,1
1929,4
1930,3
1931,1
1932,4
1933,4
1934,4
1935,3
1936,4
1937,3
1938,1
1939,1
1940,3
1941,4
1942,1
1943,1
1944,1
1945,3
1946,3
1947,3
1948,4
1949,4
1950,3
1951,4
1952,4
1953,1
1954,1
1955,1
1956,4
1957,3
1958,4
1959,1
1960,1
1961,4
1962,3
1963,4
1964,4
1965,3
1966,4
1967,4
1968,1
1969,4
1970,3
1971,1
1972,4
1973,4
1974,1
1975,1
1976,3
1977,3
1978,4
1979,3
1980,3
1981,4
1982,1
1983,3
1984,1
1985,1
1986,1
1987,1
1988,3
1989,3
1990,1
1991,1
1992,4
1993,1
1994,3
1995,4
1996,1
1997,3
1998,3
1999,4
2000,4
2001,3
2002,4
2003,3
2004,3
2005,3
2006,1
2007,4
2008,3
2009,1
2010,4
2011,4
2012,3
2013,4
2014,3
2015,3
2016,1
2017,4
2018,1
2019,4
2020,4
2021,3
2022,1
2023,1
2024,4
2025,3
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,4
2033,3
2034,1
2035,1
2036,1
2037,3
2038,4
2039,4
2040,3
2041,1
2042,4
2043,4
2044,4
2045,2
2046,1
2047,4
2048,1
2049,4
2050,3
2051,1
2052,1
2053,4
2054,4
2055,4
2056,4
2057,1
2058,3
2059,4
2060,1
2061,4
2062,1
2063,4
2064,1
2065,3
2066,4
2067,2
2068,3
2069,3
2070,3
2071,3
2072,4
2073,1
2074,2
2075,4
2076,1
2077,3
2078,4
2079,1
2080,3
2081,4
2082,4
2083,4
2084,3
2085,4
2086,1
2087,1
2088,2
2089,3
2090,1
2091,4
2092,3
2093,4
2094,4
2095,4
2096,4
2097,3
2098,3
2099,1
2100,3
2101,1
2102,4
2103,3
2104,4
2105,1
2106,4
2107,3
2108,4
2109,3
2110,3
2111,4
2112,4
2113,1
2114,1
2115,1
2116,3
2117,3
2118,4
2119,4
2120,1
2121,3
2122,4
2123,4
2124,3
2125,4
2126,4
2127,3
2128,1
2129,4
2130,3
2131,1
2132,1
2133,3
2134,1
2135,1
2136,3
2137,1
2138,3
2139,3
2140,3
2141,4
2142,1
2143,3
2144,3
2145,4
2146,2
2147,4
2148,4
2149,1
2150,3
2151,1
2152,3
2153,1
2154,4
2155,3
2156,1
2157,4
2158,4
2159,1
2160,1
2161,1
2162,3
2163,3
2164,1
2165,1
2166,4
2167,3
2168,4
2169,4
2170,1
2171,3
2172,4
2173,1
2174,3
2175,1
2176,1
2177,1
2178,3
2179,1
2180,4
2181,4
2182,1
2183,3
2184,3
2185,4
2186,3
2187,1
2188,3
2189,3
2190,3
2191,1
2192,4
2193,3
2194,3
2195,1
2196,4
2197,3
2198,4
2199,1
2200,1
2201,4
2202,4
2203,4
2204,1
2205,4
2206,3
2207,4
2208,3
2209,3
2210,4
2211,3
2212,4
2213,4
2214,4
2215,4
2216,3
2217,4
2218,3
2219,3
2220,3
2221,4
2222,4
2223,4
2224,1
2225,3
2226,3
2227,3
2228,3
2229,1
2230,1
2231,4
2232,3
2233,4
2234,4
2235,1
2236,1
2237,4
2238,3
2239,3
2240,4
2241,1
2242,4
2243,4
2244,3
2245,3
2246,1
2247,3
2248,1
2249,3
2250,1
2251,1
2252,1
2253,4
2254,1
2255,3
2256,3
2257,1
2258,1
2259,1
2260,1
2261,1
2262,4
2263,1
2264,3
2265,4
2266,3
2267,4
2268,3
2269,2
2270,3
2271,3
2272,3
2273,4
2274,3
2275,1
2276,1
2277,4
2278,1
2279,4
2280,4
2281,4
2282,4
2283,1
2284,3
2285,3
2286,4
2287,1
2288,1
2289,4
2290,3
2291,1
2292,1
2293,4
2294,4
2295,4
2296,3
2297,3
2298,4
2299,1
2300,4
2301,1
2302,4
2303,3
2304,1
2305,4
2306,1
2307,4
2308,1
2309,4
2310,4
2311,3
2312,3
2313,3
2314,4
2315,3
2316,4
2317,1
2318,1
2319,1
2320,3
2321,4
2322,4
2323,4
2324,3
2325,1
2326,1
2327,3
2328,1
2329,1
2330,4
2331,1
2332,4
2333,4
2334,1
2335,3
2336,3
2337,1
2338,3
2339,3
2340,1
2341,3
2342,3
2343,3
2344,4
2345,3
2346,2
2347,3
2348,4
2349,4
2350,3
2351,4
2352,1
2353,4
2354,4
2355,4
2356,3
2357,4
2358,4
2359,3
2360,2
2361,3
2362,1
2363,2
2364,3
2365,4
2366,4
2367,1
2368,3
2369,3
2370,4
2371,1
2372,3
2373,4
2374,3
2375,1
2376,4
2377,1
2378,4
2379,3
2380,3
2381,1
2382,4
2383,4
2384,1
2385,1
2386,3
2387,4
2388,1
2389,1
2390,1
2391,1
2392,4
2393,4
2394,4
2395,1
2396,1
2397,3
2398,4
2399,3
2400,1
2401,1
2402,3
2403,4
2404,3
2405,1
2406,1
2407,4
2408,4
2409,4
2410,3
2411,1
2412,3
2413,2
2414,4
2415,4
2416,4
2417,3
2418,1
2419,1
2420,1
2421,1
2422,4
2423,4
2424,1
2425,4
2426,4
2427,4
2428,1
2429,3
2430,1
2431,4
2432,4
2433,3
2434,3
2435,1
2436,4
2437,1
2438,3
2439,1
2440,1
2441,1
2442,4
2443,3
2444,3
2445,1
2446,1
2447,4
2448,3
2449,1
2450,1
2451,3
2452,3
2453,1
2454,4
2455,1
2456,3
2457,1
2458,1
2459,4
2460,1
2461,1
2462,1
2463,3
2464,4
2465,3
2466,4
2467,3
2468,3
2469,3
2470,1
2471,3
2472,1
2473,4
2474,3
2475,4
2476,1
2477,3
2478,4
2479,1
2480,1
2481,3
2482,4
2483,3
2484,4
2485,3
2486,3
2487,3
2488,1
2489,4
2490,1
2491,3
2492,3
2493,3
2494,4
2495,3
2496,4
2497,1
2498,1
2499,3
2500,3
2501,3
2502,3
2503,4
2504,4
2505,1
2506,1
2507,1
2508,4
2509,3
2510,4
2511,4
2512,4
2513,4
2514,3
2515,1
2516,4
2517,3
2518,3
2519,4
2520,3
2521,3
2522,4
2523,1
2524,4
2525,1
2526,1
2527,3
2528,4
2529,3
2530,1
2531,1
2532,1
2533,4
2534,1
2535,3
2536,1
2537,3
2538,4
2539,3
2540,4
2541,4
2542,3
2543,4
2544,3
2545,1
2546,4
2547,3
2548,3
2549,1
2550,1
2551,4
2552,1
2553,1
2554,1
2555,2
2556,3
2557,1
2558,3
2559,3
2560,1
2561,1
2562,3
2563,4
2564,1
2565,3
2566,1
2567,1
2568,3
2569,3
2570,4
2571,1
2572,1
2573,4
2574,4
2575,1
2576,3
2577,3
2578,4
2579,4
2580,4
2581,4
2582,4
2583,3
2584,1
2585,1
2586,4
2587,4
2588,1
2589,4
2590,1
2591,4
2592,3
2593,1
2594,4
2595,4
2596,1
2597,2
2598,3
